Date,Year,Month,Chlorophyll_a_ugL,Total_Phosphorus_mgL,Secchi_Depth_m,Disturbance
2011-01-15,2011,1,73.72,0.305,0.43,Forced
2011-02-15,2011,2,78.83,0.306,0.7,Forced
2011-03-15,2011,3,100.0,0.368,0.68,Forced
2011-04-15,2011,4,100.0,0.344,0.22,Forced
2011-05-15,2011,5,83.31,0.356,0.18,Forced
2011-06-15,2011,6,100.0,0.399,0.12,Forced
2011-07-15,2011,7,100.0,0.391,-0.03,Forced
2011-08-15,2011,8,88.52,0.386,0.2,Forced
2011-09-15,2011,9,100.0,0.371,0.51,Forced
2011-10-15,2011,10,100.0,0.373,-0.17,Forced
2011-11-15,2011,11,72.81,0.306,0.15,Forced
2011-12-15,2011,12,100.0,0.321,0.25,Forced
2012-01-15,2012,1,100.0,0.341,0.1,Forced
2012-02-15,2012,2,100.0,0.364,0.17,Forced
2012-03-15,2012,3,76.58,0.369,0.24,Forced
2012-04-15,2012,4,66.91,0.404,0.34,Forced
2012-05-15,2012,5,23.93,0.425,0.74,Forced
2012-06-15,2012,6,32.89,0.422,0.54,Forced
2012-07-15,2012,7,41.73,0.455,0.77,Forced
2012-08-15,2012,8,48.57,0.395,0.72,Forced
2012-09-15,2012,9,64.24,0.403,0.13,Forced
2012-10-15,2012,10,44.79,0.332,-0.0,Forced
2012-11-15,2012,11,84.37,0.326,0.53,Forced
2012-12-15,2012,12,75.06,0.313,0.11,Forced
2013-01-15,2013,1,100.0,0.31,0.32,Forced
2013-02-15,2013,2,93.47,0.341,-0.02,Forced
2013-03-15,2013,3,74.89,0.357,0.61,Forced
2013-04-15,2013,4,75.29,0.393,0.86,Forced
2013-05-15,2013,5,47.59,0.39,0.56,Forced
2013-06-15,2013,6,74.62,0.436,0.34,Forced
2013-07-15,2013,7,75.23,0.383,0.29,Forced
2013-08-15,2013,8,100.0,0.355,0.43,Forced
2013-09-15,2013,9,93.88,0.391,0.4,Forced
2013-10-15,2013,10,100.0,0.341,0.47,Forced
2013-11-15,2013,11,100.0,0.269,0.15,Forced
2013-12-15,2013,12,86.87,0.287,0.38,Forced
2014-01-15,2014,1,100.0,0.306,0.16,Forced
2014-02-15,2014,2,100.0,0.312,0.06,Forced
2014-03-15,2014,3,100.0,0.341,0.26,Forced
2014-04-15,2014,4,88.26,0.371,0.12,Forced
2014-05-15,2014,5,96.77,0.38,0.52,Forced
2014-06-15,2014,6,100.0,0.415,0.1,Forced
2014-07-15,2014,7,51.57,0.376,0.56,Forced
2014-08-15,2014,8,90.85,0.342,0.18,Forced
2014-09-15,2014,9,100.0,0.327,0.33,Forced
2014-10-15,2014,10,63.77,0.309,0.3,Forced
2014-11-15,2014,11,35.54,0.21,0.41,Forced
2014-12-15,2014,12,36.62,0.256,0.74,Forced
2015-01-15,2015,1,11.85,0.252,1.33,Forced
2015-02-15,2015,2,19.88,0.262,1.06,Forced
2015-03-15,2015,3,39.73,0.292,0.52,Forced
2015-04-15,2015,4,44.52,0.351,0.28,Forced
2015-05-15,2015,5,82.1,0.325,0.54,Forced
2015-06-15,2015,6,100.0,0.357,0.42,Forced
2015-07-15,2015,7,100.0,0.309,0.16,Forced
2015-08-15,2015,8,100.0,0.387,0.29,Forced
2015-09-15,2015,9,22.74,0.283,1.12,Forced
2015-10-15,2015,10,26.19,0.274,0.74,Forced
2015-11-15,2015,11,36.07,0.273,0.59,Forced
2015-12-15,2015,12,31.92,0.23,0.76,Forced
2016-01-15,2016,1,41.04,0.255,0.5,Forced
2016-02-15,2016,2,77.4,0.27,0.51,Forced
2016-03-15,2016,3,35.43,0.269,0.63,Forced
2016-04-15,2016,4,74.55,0.282,0.2,Forced
2016-05-15,2016,5,100.0,0.344,0.39,Forced
2016-06-15,2016,6,99.69,0.309,0.05,Forced
2016-07-15,2016,7,70.37,0.311,0.78,Forced
2016-08-15,2016,8,52.64,0.299,0.8,Forced
2016-09-15,2016,9,27.66,0.286,0.9,Forced
2016-10-15,2016,10,60.01,0.237,0.51,Forced
2016-11-15,2016,11,87.58,0.206,0.38,Forced
2016-12-15,2016,12,34.92,0.21,0.57,Forced
2017-01-15,2017,1,33.99,0.173,0.74,Forced
2017-02-15,2017,2,48.89,0.234,0.32,Forced
2017-03-15,2017,3,47.14,0.224,0.63,Forced
2017-04-15,2017,4,20.34,0.272,1.16,Forced
2017-05-15,2017,5,23.64,0.289,0.82,Forced
2017-06-15,2017,6,57.0,0.299,0.33,Forced
2017-07-15,2017,7,48.93,0.252,0.27,Forced
2017-08-15,2017,8,49.46,0.215,0.8,Forced
2017-09-15,2017,9,33.13,0.221,0.59,Forced
2017-10-15,2017,10,47.49,0.182,0.48,Forced
2017-11-15,2017,11,46.37,0.149,0.59,Forced
2017-12-15,2017,12,36.46,0.195,0.7,Forced
2018-01-15,2018,1,24.24,0.215,1.03,Forced
2018-02-15,2018,2,47.84,0.154,0.44,Forced
2018-03-15,2018,3,24.01,0.214,0.65,Forced
2018-04-15,2018,4,38.65,0.218,0.35,Forced
2018-05-15,2018,5,12.95,0.239,1.19,Forced
2018-06-15,2018,6,27.58,0.271,0.61,Forced
2018-07-15,2018,7,48.79,0.28,0.45,Forced
2018-08-15,2018,8,69.32,0.212,0.64,Forced
2018-09-15,2018,9,55.99,0.205,0.38,Forced
2018-10-15,2018,10,81.37,0.208,0.25,Forced
2018-11-15,2018,11,91.86,0.18,0.29,Forced
2018-12-15,2018,12,42.79,0.16,0.49,Forced
2019-01-15,2019,1,37.65,0.177,0.62,Forced
2019-02-15,2019,2,44.19,0.192,0.66,Forced
2019-03-15,2019,3,39.82,0.202,0.78,Forced
2019-04-15,2019,4,35.28,0.205,0.86,Forced
2019-05-15,2019,5,33.88,0.195,1.1,Forced
2019-06-15,2019,6,64.14,0.221,0.52,Forced
2019-07-15,2019,7,72.18,0.192,0.81,Forced
2019-08-15,2019,8,42.14,0.173,0.42,Forced
2019-09-15,2019,9,7.57,0.168,2.13,Forced
2019-10-15,2019,10,5.54,0.151,1.85,Forced
2019-11-15,2019,11,14.89,0.105,1.15,Forced
2019-12-15,2019,12,4.57,0.111,2.03,Forced
2020-01-15,2020,1,12.53,0.107,1.29,Forced
2020-02-15,2020,2,11.73,0.164,1.4,Forced
2020-03-15,2020,3,19.29,0.153,0.91,Forced
2020-04-15,2020,4,27.15,0.198,0.97,Forced
2020-05-15,2020,5,32.8,0.133,0.59,Forced
2020-06-15,2020,6,33.7,0.236,0.82,Forced
2020-07-15,2020,7,33.56,0.216,0.99,Forced
2020-08-15,2020,8,28.66,0.18,0.7,Forced
2020-09-15,2020,9,35.16,0.098,0.82,Forced
2020-10-15,2020,10,45.64,0.125,0.65,Forced
2020-11-15,2020,11,19.55,0.092,1.47,Forced
2020-12-15,2020,12,21.22,0.043,0.86,Forced
